tipo,vertices,instancia,metodo,resultado,tempo_ms,iteracoes,memoria_kb
denso,10,1,Backtracking,SIM,0.002,10,0
denso,10,1,Backtracking+Poda,SIM,0.009,10,0
denso,10,1,Prog_Dinamica,SIM,0.467,1023,128
denso,10,10,Backtracking,SIM,0.002,10,0
denso,10,10,Backtracking+Poda,SIM,0.01,10,0
denso,10,10,Prog_Dinamica,SIM,0.561,1023,128
denso,10,2,Backtracking,SIM,0.002,10,0
denso,10,2,Backtracking+Poda,SIM,0.009,10,0
denso,10,2,Prog_Dinamica,SIM,0.59,1023,128
denso,10,3,Backtracking,SIM,0.002,10,0
denso,10,3,Backtracking+Poda,SIM,0.013,10,0
denso,10,3,Prog_Dinamica,SIM,0.73,1023,128
denso,10,4,Backtracking,SIM,0.002,10,0
denso,10,4,Backtracking+Poda,SIM,0.011,10,0
denso,10,4,Prog_Dinamica,SIM,0.614,1023,128
denso,10,5,Backtracking,SIM,0.003,10,0
denso,10,5,Backtracking+Poda,SIM,0.016,10,0
denso,10,5,Prog_Dinamica,SIM,0.861,1023,128
denso,10,6,Backtracking,SIM,0.005,10,0
denso,10,6,Backtracking+Poda,SIM,0.021,10,0
denso,10,6,Prog_Dinamica,SIM,1.189,1023,0
denso,10,7,Backtracking,SIM,0.002,10,0
denso,10,7,Backtracking+Poda,SIM,0.014,10,0
denso,10,7,Prog_Dinamica,SIM,0.622,1023,0
denso,10,8,Backtracking,SIM,0.004,10,0
denso,10,8,Backtracking+Poda,SIM,0.022,10,0
denso,10,8,Prog_Dinamica,SIM,1.075,1023,128
denso,10,9,Backtracking,SIM,0.004,10,0
denso,10,9,Backtracking+Poda,SIM,0.02,10,0
denso,10,9,Prog_Dinamica,SIM,1.071,1023,0
denso,20,1,Backtracking,SIM,0.007,20,0
denso,20,1,Backtracking+Poda,SIM,0.048,20,0
denso,20,1,Prog_Dinamica,SIM,561.668,1048575,73728
denso,20,10,Backtracking,SIM,0.003,20,0
denso,20,10,Backtracking+Poda,SIM,0.02,20,0
denso,20,10,Prog_Dinamica,SIM,547.011,1048575,73600
denso,20,2,Backtracking,SIM,0.002,20,0
denso,20,2,Backtracking+Poda,SIM,0.014,20,0
denso,20,2,Prog_Dinamica,SIM,528.688,1048575,73728
denso,20,3,Backtracking,SIM,0.003,20,0
denso,20,3,Backtracking+Poda,SIM,0.019,20,0
denso,20,3,Prog_Dinamica,SIM,538.275,1048575,73600
denso,20,4,Backtracking,SIM,0.002,20,0
denso,20,4,Backtracking+Poda,SIM,0.016,20,0
denso,20,4,Prog_Dinamica,SIM,536.352,1048575,73600
denso,20,5,Backtracking,SIM,0.002,20,0
denso,20,5,Backtracking+Poda,SIM,0.015,20,0
denso,20,5,Prog_Dinamica,SIM,563.207,1048575,73600
denso,20,6,Backtracking,SIM,0.003,20,0
denso,20,6,Backtracking+Poda,SIM,0.021,20,0
denso,20,6,Prog_Dinamica,SIM,550.766,1048575,73728
denso,20,7,Backtracking,SIM,0.003,23,0
denso,20,7,Backtracking+Poda,SIM,0.016,20,0
denso,20,7,Prog_Dinamica,SIM,525.839,1048575,73728
denso,20,8,Backtracking,SIM,0.004,29,0
denso,20,8,Backtracking+Poda,SIM,0.018,20,0
denso,20,8,Prog_Dinamica,SIM,528.495,1048575,73600
denso,20,9,Backtracking,SIM,0.003,20,0
denso,20,9,Backtracking+Poda,SIM,0.019,20,0
denso,20,9,Prog_Dinamica,SIM,544.581,1048575,73728
denso,30,1,Backtracking,SIM,0.005,30,0
denso,30,1,Backtracking+Poda,SIM,0.04,30,0
denso,30,10,Backtracking,SIM,0.006,30,0
denso,30,10,Backtracking+Poda,SIM,0.068,30,0
denso,30,2,Backtracking,SIM,0.005,30,0
